25 20
#############
#...........#    ########
#...s...s...######......#
#...g..f........f...g...#
#...........######......#
#.....s.....#    #..f...#
#...........#    #......#
#...........#    #.s....#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #..f...#
  #..@....#      #......#
  #.......#      #..g...#
  #.......#      #.s....#
  #.......#      #...g..|
  #.......#      #......#
  #.......#      #......#
  #########       ######
